,Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin
633,Argentina,ARG,2022-09-23,19093050,13034430,26755927,0,20729835,0,28861825,968989,0,0
728,Austria,AUT,2022-09-20,15607756,1641720,1592566,368037,0,0,0,0,13984,0
817,Belgium,BEL,2022-09-16,18236193,4312663,2848386,427855,0,0,0,0,358,0
907,Bulgaria,BGR,2022-09-16,3021409,507804,478547,527470,0,0,0,0,0,0
983,Canada,CAN,2022-09-11,60138007,25104385,2813816,23034,0,0,0,0,23813,0
1584,Chile,CHL,2022-08-30,8067724,0,549673,0,0,25943395,0,0,0,0
1680,Croatia,HRV,2022-09-20,3989919,514275,568485,204350,0,0,0,0,1371,0
1770,Cyprus,CYP,2022-09-16,1260468,197589,254531,30953,0,0,0,0,895,0
2406,Czechia,CZE,2022-09-23,15099714,1630244,887627,413761,0,199,41,0,10217,5
2496,Denmark,DNK,2022-09-02,10295574,1721645,155913,46494,0,0,0,0,0,0
2864,Ecuador,ECU,2022-01-28,8552679,0,5009163,0,0,15812935,0,536882,0,0
2954,Estonia,EST,2022-09-16,1570330,238840,238905,78903,0,0,0,0,2018,0
3682,Finland,FIN,2022-09-16,9471965,1914859,553779,0,0,0,0,0,0,0
4316,France,FRA,2022-09-21,116916089,23926138,7861675,1089471,0,0,0,0,31983,0
4952,Germany,DEU,2022-09-23,137162450,31525275,12796911,3751408,0,0,0,0,145582,0
5524,Hong Kong,HKG,2022-09-18,10996637,0,0,0,0,8190500,0,0,0,0
5614,Hungary,HUN,2022-09-16,9674882,1078951,1252501,342302,1807392,0,2313471,0,0,0
5690,Iceland,ISL,2022-03-28,76558,6493,1,85,0,0,0,0,0,0
5788,Ireland,IRL,2022-09-20,8627752,1564088,1187523,236756,0,0,0,0,492,0
6424,Italy,ITA,2022-09-23,92690538,34233698,12166457,1508102,0,0,0,0,42910,0
6989,Japan,JPN,2022-09-21,244036981,77941013,117789,0,0,0,0,0,202546,0
7563,Latvia,LVA,2022-07-11,1624384,715409,262043,293843,0,9,27,0,438,0
7643,Liechtenstein,LIE,2022-09-16,21671,46577,0,264,0,0,0,0,1,0
7733,Lithuania,LTU,2022-09-16,3325156,329336,536495,295772,0,0,0,0,0,0
7829,Luxembourg,LUX,2022-09-20,721102,339447,105122,41492,0,0,0,0,473,0
7915,Malta,MLT,2022-08-19,732846,278638,227853,32398,0,0,0,0,0,0
8025,Nepal,NPL,2022-07-04,1797582,7336243,14088349,3693423,0,0,19972478,0,0,0
8113,Netherlands,NLD,2022-09-02,22697220,8448384,2473242,755296,0,0,0,0,2707,0
8203,Norway,NOR,2022-09-16,8949879,2279586,147872,7331,0,0,0,0,0,0
8791,Peru,PER,2022-09-19,49997005,4789343,7987028,0,0,0,21183564,0,0,0
8887,Poland,POL,2022-09-20,39200423,3662399,5289035,2720217,0,0,0,0,13434,0
8978,Portugal,PRT,2022-09-16,16257127,3687434,2266452,1136904,0,6275,3568,0,146,80
9509,Romania,ROU,2022-06-11,12914439,1008835,849559,2054653,0,0,0,0,0,0
9592,Slovakia,SVK,2022-07-15,5120448,674011,842756,185083,37710,0,0,0,1618,0
9682,Slovenia,SVN,2022-09-16,2270720,237473,323610,135941,0,0,0,0,195,0
9867,South Africa,ZAF,2022-09-24,28384172,0,0,9228310,0,0,0,0,0,0
10441,South Korea,KOR,2022-09-22,81157870,25230157,20324707,1544377,0,0,0,0,819405,0
10530,Spain,ESP,2022-09-16,67115562,24108021,9794594,1981048,0,0,0,0,0,0
10620,Sweden,SWE,2022-09-16,16267100,4130407,1322062,0,0,0,0,0,6730,0
11250,Switzerland,CHE,2022-09-19,5991616,9932859,0,62678,0,0,0,0,491,0
11615,Ukraine,UKR,2022-02-23,14774013,3044899,4041487,20680,0,9802231,0,0,0,0
12114,United States,USA,2022-09-21,364799403,231784237,0,18896040,0,0,0,0,0,0
12649,Uruguay,URY,2022-09-23,2555155,0,91140,0,0,3248161,0,0,0,0
